Gene	Gistic(Q-value)	Cytoband	CNA	Profiled Samples	#	Freq	Is Cancer Gene (source: OncoKB)
GUCY1A1		4q32.1	AMP	4	408	1.0%	No
SYNJ1		21q22.11	HOMDEL	1	408	0.2%	No
CBR1		21q22.12	HOMDEL	1	408	0.2%	No
NAA50		3q13.31	AMP	7	408	1.7%	No
SLC38A2		12q13.11	AMP	8	408	2.0%	No
MTAP		9p21.3	AMP	3	408	0.7%	Yes
FSTL3		19p13.3	HOMDEL	3	408	0.7%	Yes
POLR1G		19q13.32	AMP	10	408	2.5%	No
METTL21A		2q33.3	AMP	1	408	0.2%	No
KANK2		19p13.2	HOMDEL	1	408	0.2%	No
OR2A12		7q35	HOMDEL	1	408	0.2%	No
C9ORF50		9q34.11	HOMDEL	3	408	0.7%	No
ASCC2		22q12.2	AMP	16	408	3.9%	No
RTL10		22q11.21	AMP	13	408	3.2%	No
MAGEA9B		Xq28	AMP	8	408	2.0%	No
FSTL4		5q31.1	HOMDEL	3	408	0.7%	No
BABAM2		2p23.2	HOMDEL	2	408	0.5%	No
SNORA68		19p13.11	AMP	1	408	0.2%	No
IL1R1		2q11.2-q12.1	AMP	9	408	2.2%	No
SLC38A3		3p21.31	AMP	3	408	0.7%	No
KANK3		19p13.2	HOMDEL	2	408	0.5%	No
RAB29		1q32.1	HOMDEL	2	408	0.5%	No
POLR1H		6p22.1	AMP	9	408	2.2%	No
TRAV35		14q11.2	HOMDEL	4	408	1.0%	No
PGGT1B		5q22.3	AMP	1	408	0.2%	No
LINC02911		16q12.1	AMP	3	408	0.7%	No
LPAR1		9q31.3	AMP	4	408	1.0%	No
ACSBG1		15q25.1	HOMDEL	2	408	0.5%	No
ASCC1		10q22.1	AMP	6	408	1.5%	No
NFATC1		18q23	HOMDEL	11	408	2.7%	No
NDUFC1		4q31.1	HOMDEL	2	408	0.5%	No
TEF		22q13.2	AMP	1	408	0.2%	No
TSHR		14q24-q31	HOMDEL	3	408	0.7%	Yes
METTL21C		13q33.1	AMP	11	408	2.7%	No
LPAR4		Xq21.1	AMP	2	408	0.5%	No
TRAV34		14q11.2	HOMDEL	4	408	1.0%	No
RN7SKP80		22q13.2	HOMDEL	2	408	0.5%	No
ADAMTS9		3p14.1	AMP	3	408	0.7%	No
LINC02910		20q13.33	AMP	3	408	0.7%	No
SLC38A1		12q13.11	AMP	6	408	1.5%	No
AVEN		15q14	HOMDEL	3	408	0.7%	No
EMB		5q11.1	AMP	32	408	7.8%	No
AP2A1		19q13.33	HOMDEL	1	408	0.2%	No
LPAR3		1p22.3	AMP	3	408	0.7%	No
ARPC1B		7q22.1	AMP	7	408	1.7%	No
GUCY1A2		11q22.3	AMP	6	408	1.5%	No
ZC3H8		2q14.1	HOMDEL	1	408	0.2%	No
HCST		19q13.12	AMP	14	408	3.4%	No
SNORA69		Xq24	AMP	1	408	0.2%	No
MYOCD		17p12	HOMDEL	9	408	2.2%	No
ADAMTS8		11q24.3	AMP	1	408	0.2%	No
HTATSF1		Xq26.3	AMP	4	408	1.0%	No
RMC1		18q11.2	HOMDEL	1	408	0.2%	No
KANK1		9p24.3	HOMDEL	13	408	3.2%	No
RN7SKP81		Xq27.3	HOMDEL	2	408	0.5%	No
INSM2		14q13.2	AMP	1	408	0.2%	No
RN7SL191P		Xq26.1	AMP	3	408	0.7%	No
MSS51		10q22.2	HOMDEL	3	408	0.7%	No
ADAMTS7		15q25.1	AMP	1	408	0.2%	No
FRA10AC1		10q23.33	AMP	3	408	0.7%	No
RN7SKP82		4p13	HOMDEL	2	408	0.5%	No
KCNJ2		17q24.3	AMP	14	408	3.4%	No
PSG1		19q13.2	AMP	9	408	2.2%	No
LINC02915		15q14	AMP	2	408	0.5%	No
TEX10		9q31.1	HOMDEL	5	408	1.2%	No
TAS2R31		12p13.2	HOMDEL	4	408	1.0%	No
SNX11		17q21.32	AMP	5	408	1.2%	No
CBR4		4q32.3	HOMDEL	10	408	2.5%	No
LPAR5		12p13.31	AMP	6	408	1.5%	No
OPALIN		10q24.1	AMP	2	408	0.5%	No
CRYBA4		22q12.1	HOMDEL	3	408	0.7%	No
MYH15		3q13.13	AMP	7	408	1.7%	No
MYO18A		17q11.2	AMP	22	408	5.4%	Yes
RN7SL684P		5q35.2	HOMDEL	6	408	1.5%	No
CYP7B1		8q12.3	AMP	13	408	3.2%	No
SLC38A6		14q23.1	AMP	1	408	0.2%	No
LZTFL1		3p21.31	HOMDEL	2	408	0.5%	No
RAB25		1q22	HOMDEL	1	408	0.2%	No
EIF2AK1		7p22.1	AMP	15	408	3.7%	No
INSM1		20p11.23	AMP	1	408	0.2%	No
RAB26		16p13.3	HOMDEL	6	408	1.5%	No
FGGY		1p32.1	HOMDEL	2	408	0.5%	No
PDILT		16p12.3	AMP	7	408	1.7%	No
OR5AP2		11q12.1	HOMDEL	1	408	0.2%	No
OR5B12		11q12.1	HOMDEL	1	408	0.2%	No
SNX12		Xq13.1	AMP	3	408	0.7%	No
SNORD84		6p21.33	HOMDEL	2	408	0.5%	No
ACE2		Xp22.2	AMP	3	408	0.7%	No
EMD		Xq28	AMP	9	408	2.2%	No
LINC02914		14q32.2	AMP	2	408	0.5%	No
SAP18		13q12.11	HOMDEL	3	408	0.7%	No
KCNJ3		2q24.1	AMP	1	408	0.2%	No
SLC38A7		16q21	AMP	1	408	0.2%	No
FSTL1		3q13.33	HOMDEL	1	408	0.2%	Yes
MYH16		7q22.1	AMP	6	408	1.5%	No
PRAG1		8p23.1	AMP	1	408	0.2%	No
ATF4P4		11q23.2	AMP	1	408	0.2%	No
CASS4		20q13.31	AMP	4	408	1.0%	No
HDGF		1q23.1	HOMDEL	1	408	0.2%	No
AP2A2		11p15.5	HOMDEL	6	408	1.5%	No
UBTD1		10q24.1-q24.2	HOMDEL	5	408	1.2%	No
LINC02913		9q34.11	AMP	2	408	0.5%	No
PYCARD		16p11.2	AMP	5	408	1.2%	No
SLC38A4		12q13.11	AMP	4	408	1.0%	No
ADAMTS5		21q21.3	AMP	5	408	1.2%	No
MYH14		19q13.33	AMP	8	408	2.0%	No
CRYBA2		2q35	HOMDEL	8	408	2.0%	No
CBR3		21q22.12	HOMDEL	2	408	0.5%	No
EIF2AK2		2p22.2	AMP	6	408	1.5%	No
LIN7B		19q13.33	AMP	7	408	1.7%	No
TEX11		Xq13.1	HOMDEL	6	408	1.5%	No
LCA5L		21q22.2	AMP	4	408	1.0%	No
NFATC4		14q12	HOMDEL	5	408	1.2%	No
LY9		1q23.3	AMP	65	408	15.9%	No
MS4A4E		11q12.2	HOMDEL	1	408	0.2%	No
TBCK		4q24	AMP	2	408	0.5%	No
CIBAR1P2		4q35.1	AMP	1	408	0.2%	No
PCNX1		14q24.2	HOMDEL	1	408	0.2%	No
KCNJ1		11q24.3	AMP	3	408	0.7%	No
KIAA1217		10p12.2-p12.1	HOMDEL	4	408	1.0%	No
LINC01600		6p25.2	HOMDEL	7	408	1.7%	No
LINC02912		8q24.21	AMP	35	408	8.6%	No
GANC		15q15.1	AMP	1	408	0.2%	No
HELLS		10q23.33	HOMDEL	5	408	1.2%	No
RAB28		4p15.33	HOMDEL	3	408	0.7%	No
F11R		1q23.3	AMP	71	408	17.4%	No
EIF2AK3		2p11.2	AMP	4	408	1.0%	No
ADAMTS4		1q23.3	AMP	69	408	16.9%	No
SNX10		7p15.2	AMP	8	408	2.0%	No
LIN7C		11p14.1	AMP	4	408	1.0%	No
TAS2R30		12p13.2	HOMDEL	4	408	1.0%	No
HMGB1P24		17q12	HOMDEL	1	408	0.2%	No
MYO18B		22q12.1	AMP	8	408	2.0%	No
GBGT1		9q34.2	AMP	1	408	0.2%	No
LPAR6		13q14.2	AMP	1	408	0.2%	No
SLC38A5		Xp11.23	AMP	2	408	0.5%	No
TRAV30		14q11.2	HOMDEL	4	408	1.0%	No
NFATC3		16q22.1	HOMDEL	1	408	0.2%	No
VAPA		18p11.22	HOMDEL	1	408	0.2%	No
SUGT1P3		13q14.11	HOMDEL	19	408	4.7%	No
GAPVD1		9q33.3	HOMDEL	3	408	0.7%	No
NDRG1		8q24.22	AMP	28	408	6.9%	Yes
SNORA60		20q11.23	AMP	6	408	1.5%	No
SLC9A9		3q24	AMP	12	408	2.9%	No
OGFRL1		6q13	AMP	5	408	1.2%	No
TEK		9p21.2	AMP	4	408	1.0%	Yes
RNA5SP497		22q12.3	AMP	11	408	2.7%	No
SLC38A9		5q11.2	AMP	5	408	1.2%	No
DDX27		20q13.13	AMP	8	408	2.0%	No
CETP		16q13	AMP	1	408	0.2%	No
CCL26		7q11.23	HOMDEL	1	408	0.2%	No
ID2		2p25.1	AMP	10	408	2.5%	No
LENG8		19q13.42	AMP	14	408	3.4%	No
SNX14		6q14.3	AMP	3	408	0.7%	No
RNA5SP496		22q12.2	AMP	14	408	3.4%	No
NDRG2		14q11.2	AMP	7	408	1.7%	No
LIN7A		12q21.31	AMP	3	408	0.7%	No
RN7SL176P		12q23.1	AMP	3	408	0.7%	No
SPRR2B		1q21.3	AMP	31	408	7.6%	No
POLR1A		2p11.2	AMP	8	408	2.0%	No
GRB7		17q12	AMP	23	408	5.6%	Yes
RILP		17p13.3	HOMDEL	8	408	2.0%	No
FAM174A		5q21.1	AMP	1	408	0.2%	No
ADAMTS3		4q13.3	AMP	12	408	2.9%	No
TEX12		11q23.1	HOMDEL	3	408	0.7%	No
ZZZ3		1p31.1	HOMDEL	1	408	0.2%	No
ID1		20q11.21	AMP	24	408	5.9%	Yes
DGCR6L		22q11.21	AMP	13	408	3.2%	No
TBCE		1q42.3	AMP	6	408	1.5%	No
SNX15		11q13.1	AMP	10	408	2.5%	No
RN7SL796P		15q13.2	AMP	1	408	0.2%	No
UBE2E3		2q31.3	AMP	4	408	1.0%	No
SNX13		7p21.1	AMP	24	408	5.9%	No
CPVL		7p14.3	AMP	7	408	1.7%	No
TEX15		8p12	HOMDEL	22	408	5.4%	No
MAGEA3		Xq28	AMP	7	408	1.7%	No
OOEP		6q13	AMP	4	408	1.0%	No
C16ORF78		16q12.1	AMP	2	408	0.5%	No
NDRG3		20q11.23	AMP	8	408	2.0%	No
HMMR		5q34	HOMDEL	4	408	1.0%	No
POLR1B		2q14.1	AMP	4	408	1.0%	No
SNORA62		3p22.1	AMP	2	408	0.5%	No
SOCS6		18q22.2	HOMDEL	11	408	2.7%	No
RNA5SP498		Xp22.33	AMP	7	408	1.7%	No
TNFRSF12A		16p13.3	HOMDEL	7	408	1.7%	No
RN7SL530P		14q24.3	AMP	3	408	0.7%	No
ID4		6p22.3	AMP	51	408	12.5%	No
RN7SL543P		16q22.1	HOMDEL	1	408	0.2%	No
ADAMTS2		5q35.3	AMP	2	408	0.5%	No
RAB2A		8q12.1-q12.2	HOMDEL	1	408	0.2%	No
UBTD2		5q35.1	HOMDEL	4	408	1.0%	No
SNED1		2q37.3	HOMDEL	17	408	4.2%	No
CCL24		7q11.23	HOMDEL	2	408	0.5%	No
CFLAR		2q33.1	AMP	1	408	0.2%	No
GABRE		Xq28	HOMDEL	3	408	0.7%	No
NET1		10p15.1	AMP	32	408	7.8%	No
TEX14		17q22	HOMDEL	1	408	0.2%	No
SLC9A8		20q13.13	AMP	9	408	2.2%	No
CA5BP1		Xp22.2	HOMDEL	2	408	0.5%	No
DEPP1		10q11.21	AMP	6	408	1.5%	No
MAGEA4		Xq28	AMP	6	408	1.5%	No
SLC38A8		16q23.3	AMP	7	408	1.7%	No
SPRR2A		1q21.3	AMP	29	408	7.1%	No
PCNX4		14q23.1	HOMDEL	1	408	0.2%	No
NDRG4		16q21	AMP	1	408	0.2%	No
UBN2		7q34	AMP	2	408	0.5%	No
POLR1C		6p21.1	AMP	12	408	2.9%	No
ID3		1p36.12	AMP	4	408	1.0%	Yes
FADD		11q13.3	AMP	37	408	9.1%	No
JAG2		14q32.33	HOMDEL	8	408	2.0%	No
GABRD		1p36.33	HOMDEL	1	408	0.2%	No
DMKN		19q13.12	AMP	13	408	3.2%	No
ADAMTS1		21q21.3	AMP	4	408	1.0%	No
RAB2B		14q11.2	HOMDEL	4	408	1.0%	No
DDX28		16q22.1	AMP	9	408	2.2%	No
POLR1D		13q12.2	AMP	8	408	2.0%	No
LEMD1		1q32.1	HOMDEL	1	408	0.2%	No
HSD3B7		16p11.2	AMP	5	408	1.2%	No
CCL23		17q12	HOMDEL	1	408	0.2%	No
TOP2B		3p24.2	AMP	17	408	4.2%	No
SNX18		5q11.2	AMP	3	408	0.7%	No
TBCB		19q13.12	AMP	12	408	2.9%	No
SOCS1		16p13.13	HOMDEL	2	408	0.5%	Yes
TAS2R38		7q34	HOMDEL	1	408	0.2%	No
UBE2E1		3p24.2	AMP	16	408	3.9%	No
IGLJ4		22q11.22	HOMDEL	2	408	0.5%	No
DEFB4B		8p23.1	HOMDEL	32	408	7.8%	No
RN7SL220P		10q21.3	AMP	3	408	0.7%	No
PLA2G15		16q22.1	HOMDEL	1	408	0.2%	No
STYXL2		1q24.1	AMP	44	408	10.8%	No
FAM50A		Xq28	AMP	9	408	2.2%	No
SNORA63		3q27.3	AMP	5	408	1.2%	No
ROBO2		3p12.3	AMP	5	408	1.2%	No
RNGTT		6q15	AMP	1	408	0.2%	No
SLC9A6		Xq26.3	AMP	3	408	0.7%	No
CRH		8q13.1	AMP	13	408	3.2%	No
PRLHR		10q26.11	AMP	2	408	0.5%	No
C6ORF47		6p21.33	AMP	8	408	2.0%	No
MAGEA1		Xq28	AMP	7	408	1.7%	No
RPF1		1p22.3	AMP	3	408	0.7%	No
CCL22		16q21	HOMDEL	2	408	0.5%	No
MAGEA2		Xq28	AMP	7	408	1.7%	No
TOP2A		17q21.2	AMP	11	408	2.7%	Yes
RN7SL838P		11p15.5	HOMDEL	8	408	2.0%	No
TAS2R39		7q34	HOMDEL	1	408	0.2%	No
POLR1E		9p13.2	AMP	8	408	2.0%	No
APEX1		14q11.2	AMP	6	408	1.5%	Yes
TMBIM6		12q13.12	AMP	3	408	0.7%	No
TRAV39		14q11.2	HOMDEL	4	408	1.0%	No
LEMD2		6p21.31	HOMDEL	2	408	0.5%	No
IGLJ3		22q11.22	HOMDEL	2	408	0.5%	No
TMX3		18q22.1	HOMDEL	9	408	2.2%	No
UBE2E2		3p24.3	AMP	17	408	4.2%	No
RNA5SP499		Xp22.31	AMP	4	408	1.0%	No
JAZF1		7p15.2-p15.1	HOMDEL	2	408	0.5%	Yes
ROBO3		11q24.2	AMP	1	408	0.2%	No
SNORA64		16p13.3	AMP	7	408	1.7%	No
ROBO4		11q24.2	HOMDEL	3	408	0.7%	No
ODAD2P1		10p12.1	AMP	4	408	1.0%	No
MS4A4A		11q12.2	HOMDEL	1	408	0.2%	No
SLC9A7		Xp11.3	AMP	3	408	0.7%	No
PLEKHM3		2q33.3	HOMDEL	5	408	1.2%	No
TBCD		17q25.3	AMP	10	408	2.5%	No
MED12L		3q25.1	AMP	15	408	3.7%	No
CCL21		9p13.3	HOMDEL	2	408	0.5%	No
SLC9A4		2q12.1	AMP	6	408	1.5%	No
SNX16		8q21.13	AMP	19	408	4.7%	No
GHR		5p13.1-p12	AMP	33	408	8.1%	No
IGLJ2		22q11.22	HOMDEL	2	408	0.5%	No
SNX29		16p13.13-p13.12	HOMDEL	4	408	1.0%	Yes
GRAP		17p11.2	AMP	9	408	2.2%	No
RN7SL32P		2q37.1	HOMDEL	12	408	2.9%	No
RPF2		6q21	AMP	2	408	0.5%	No
HIF1A		14q23.2	AMP	1	408	0.2%	Yes
SPATA31D5P		9q21.32	AMP	2	408	0.5%	No
TBCC		6p21.1	AMP	5	408	1.2%	No
KIAA1210		Xq24	HOMDEL	2	408	0.5%	No
SYNJ2		6q25.3	HOMDEL	4	408	1.0%	No
SNORA66		1p22.1	AMP	5	408	1.2%	No
HNRNPAB		5q35.3	AMP	1	408	0.2%	No
MSTO1		1q22	HOMDEL	1	408	0.2%	No
DEFB4A		8p23.1	HOMDEL	32	408	7.8%	No
CCL20		2q36.3	HOMDEL	13	408	3.2%	No
FAM174B		15q26.1	AMP	2	408	0.5%	No
TMBIM4		12q14.3	AMP	16	408	3.9%	No
SNX17		2p23.3	AMP	7	408	1.7%	No
HDLBP		2q37.3	HOMDEL	18	408	4.4%	No
ATG16L2		11q13.4	AMP	19	408	4.7%	No
DHX29		5q11.2	HOMDEL	7	408	1.7%	No
TMX2		11q12.1	HOMDEL	1	408	0.2%	No
SLC9A5		16q22.1	AMP	7	408	1.7%	No
GOLGA8IP		15q11.2	AMP	5	408	1.2%	No
OR5AK2		11q12.1	AMP	5	408	1.2%	No
DAB1		1p32.2	HOMDEL	3	408	0.7%	No
IGLJ1		22q11.22	HOMDEL	2	408	0.5%	No
LENG9		19q13.42	AMP	14	408	3.4%	No
CARHSP1		16p13.2	HOMDEL	2	408	0.5%	No
FAM50B		6p25.2	AMP	7	408	1.7%	No
C16ORF74		16q24.1	AMP	8	408	2.0%	No
ROBO1		3p12.3	AMP	2	408	0.5%	Yes
POLR1F		7p21.1	AMP	14	408	3.4%	No
GRB2		17q25.1	AMP	12	408	2.9%	No
FBXW12		3p21.31	HOMDEL	6	408	1.5%	No
SLC9A2		2q12.1	AMP	6	408	1.5%	No
CCDC15		11q24.2	HOMDEL	3	408	0.7%	No
SNX30		9q32	HOMDEL	4	408	1.0%	No
MMRN2		10q23.2	HOMDEL	5	408	1.2%	No
LRP4		11p11.2	HOMDEL	1	408	0.2%	No
CASP10		2q33.1	AMP	1	408	0.2%	No
SMAD2		18q21.1	HOMDEL	2	408	0.5%	Yes
RNA5SP490		21q22.11	AMP	7	408	1.7%	No
ZBTB1		14q23.3	HOMDEL	1	408	0.2%	No
CAPN3		15q15.1	HOMDEL	3	408	0.7%	No
CRK		17p13.3	AMP	4	408	1.0%	No
TRGJP		7p14.1	AMP	8	408	2.0%	No
PLXNA4		7q32.3	HOMDEL	2	408	0.5%	No
CNTFR		9p13.3	AMP	5	408	1.2%	No
RN7SL189P		14q11.2	HOMDEL	6	408	1.5%	No
ABTB1		3q21.3	HOMDEL	1	408	0.2%	No
MUC20		3q29	AMP	20	408	4.9%	No
FBXW11		5q35.1	HOMDEL	4	408	1.0%	No
ZRSR2		Xp22.2	AMP	3	408	0.7%	Yes
DDX20		1p13.2	AMP	5	408	1.2%	No
ZW10		11q23.2	AMP	1	408	0.2%	No
OR13C2		9q31.1	AMP	3	408	0.7%	No
CHDH		3p21.1	HOMDEL	6	408	1.5%	No
RAPH1		2q33.2	HOMDEL	4	408	1.0%	No
LRRC37A17P		17q21.32	AMP	6	408	1.5%	No
LENG1		19q13.42	AMP	14	408	3.4%	No
SLC9A3		5p15.33	AMP	42	408	10.3%	No
BCL9L		11q23.3	AMP	2	408	0.5%	Yes
LRP5		11q13.2	HOMDEL	1	408	0.2%	Yes
CCDC14		3q21.1	HOMDEL	1	408	0.2%	No
MMRN1		4q22.1	HOMDEL	1	408	0.2%	No
RGS1		1q31.2	HOMDEL	2	408	0.5%	No
PLXNA3		Xq28	HOMDEL	3	408	0.7%	No
SMAD3		15q22.33	HOMDEL	3	408	0.7%	Yes
ECI1		16p13.3	HOMDEL	6	408	1.5%	No
DUOXA1		15q21.1	HOMDEL	2	408	0.5%	No
FBXL12		19p13.2	AMP	4	408	1.0%	No
ZFP30		19q13.12	AMP	21	408	5.1%	No
RN7SL825P		10p11.22	AMP	6	408	1.5%	No
FBXW10		17p11.2	HOMDEL	9	408	2.2%	No
ABTB2		11p13	HOMDEL	4	408	1.0%	No
STK32C		10q26.3	AMP	3	408	0.7%	No
RN7SL205P		4q28.3	AMP	1	408	0.2%	No
SNRNP35		12q24.31	AMP	4	408	1.0%	No
TEX19		17q25.3	HOMDEL	1	408	0.2%	No
AHSP		16p11.2	AMP	5	408	1.2%	No
ZC3HC1		7q32.2	AMP	3	408	0.7%	No
ZBTB3		11q12.3	HOMDEL	1	408	0.2%	No
PSENEN		19q13.12	AMP	14	408	3.4%	No
TAF1L		9p21.1	AMP	4	408	1.0%	No
OR8U3		11q12.1	AMP	6	408	1.5%	No
EN2		7q36.3	AMP	3	408	0.7%	No
RN7SL499P		2q37.1	HOMDEL	11	408	2.7%	No
MUC21		6p21.33	AMP	10	408	2.5%	No
DUOXA2		15q21.1	HOMDEL	2	408	0.5%	No
RAB10		2p23.3	HOMDEL	2	408	0.5%	No
OR13C4		9q31.1	AMP	3	408	0.7%	No
ENOX1		13q14.11	HOMDEL	19	408	4.7%	No
CACYBP		1q25.1	AMP	22	408	5.4%	No
LRP2		2q31.1	HOMDEL	1	408	0.2%	No
DENND4C		9p22.1	AMP	4	408	1.0%	No
FBXL13		7q22.1	AMP	6	408	1.5%	No
SLC9A1		1p36.11	AMP	3	408	0.7%	No
EDN2		1p34.2	AMP	20	408	4.9%	No
SMAD1		4q31.21	HOMDEL	2	408	0.5%	No
EDN1		6p24.1	AMP	18	408	4.4%	No
TES		7q31.2	AMP	6	408	1.5%	No
REC8		14q12	AMP	6	408	1.5%	No
SASH1		6q24.3-q25.1	HOMDEL	5	408	1.2%	No
SNX31		8q22.3	HOMDEL	1	408	0.2%	No
MUC22		6p21.33	AMP	11	408	2.7%	No
ZBTB2		6q25.1	HOMDEL	4	408	1.0%	No
STK17A		7p13	AMP	4	408	1.0%	No
EN1		2q14.2	AMP	3	408	0.7%	No
RNA5SP491		21q22.13	AMP	7	408	1.7%	No
DENND4B		1q21.3	AMP	25	408	6.1%	No
DDX21		10q22.1	AMP	4	408	1.0%	No
OR5F1		11q12.1	HOMDEL	2	408	0.5%	No
WRAP73		1p36.32	HOMDEL	1	408	0.2%	No
OR13C3		9q31.1	AMP	3	408	0.7%	No
LRP3		19q13.11	HOMDEL	2	408	0.5%	No
RIN3		14q32.12	HOMDEL	6	408	1.5%	No
TGS1		8q12.1	AMP	12	408	2.9%	No
WHRN		9q32	AMP	1	408	0.2%	No
SERTM1		13q13.3	HOMDEL	13	408	3.2%	No
FBXL14		12p13.33	AMP	6	408	1.5%	No
SPRR2G		1q21.3	AMP	31	408	7.6%	No
CCDC12		3p21.31	HOMDEL	4	408	1.0%	No
RTP4		3q27.3	HOMDEL	1	408	0.2%	No
ZBTB5		9p13.2	HOMDEL	3	408	0.7%	No
NRP1		10p11.22	AMP	6	408	1.5%	No
CXXC5		5q31.2	HOMDEL	2	408	0.5%	No
RNA5SP493		22q11.21	AMP	11	408	2.7%	No
CASP14		19p13.12	AMP	2	408	0.5%	No
CAPN6		Xq23	HOMDEL	3	408	0.7%	No
REG1B		2p12	HOMDEL	2	408	0.5%	No
PALM		19p13.3	HOMDEL	3	408	0.7%	No
HSD3B1		1p12	AMP	10	408	2.5%	Yes
GRID2IP		7p22.1	AMP	13	408	3.2%	No
PTDSS2		11p15.5	HOMDEL	8	408	2.0%	No
SPRR2F		1q21.3	AMP	31	408	7.6%	No
OR11H1		22q11.1	AMP	5	408	1.2%	No
OR13C5		9q31.1	AMP	3	408	0.7%	No
ZNF69		19p13.2	HOMDEL	1	408	0.2%	No
DSPP		4q22.1	HOMDEL	1	408	0.2%	No
TMEM131		2q11.2	AMP	8	408	2.0%	No
EHD4		15q15.1	AMP	1	408	0.2%	No
RNA5SP492		21q22.3	AMP	3	408	0.7%	No
IL1F10		2q14.1	HOMDEL	1	408	0.2%	No
ENOX2		Xq26.1	HOMDEL	4	408	1.0%	No
DDX23		12q13.12	AMP	2	408	0.5%	No
ZBTB4		17p13.1	HOMDEL	7	408	1.7%	No
AGO2		8q24.3	HOMDEL	1	408	0.2%	Yes
RTP3		3p21.31	HOMDEL	3	408	0.7%	No
MN1		22q12.1	HOMDEL	3	408	0.7%	Yes
APOOL		Xq21.1	HOMDEL	2	408	0.5%	No
SPRR2E		1q21.3	AMP	31	408	7.6%	No
RNA5SP495		22q12.1	AMP	8	408	2.0%	No
CRP		1q23.2	AMP	43	408	10.5%	No
GSTT1		22q11.23 alternate reference locus	AMP	8	408	2.0%	No
BRF1		14q32.33	AMP	5	408	1.2%	No
STK32A		5q32	AMP	2	408	0.5%	No
SLC24A2		9p22.1	AMP	5	408	1.2%	No
CCDC13		3p22.1	HOMDEL	2	408	0.5%	No
FBXL16		16p13.3	AMP	1	408	0.2%	No
CASP12		11q22.3	AMP	3	408	0.7%	No
DDX25		11q24.2	AMP	1	408	0.2%	No
CAPN8		1q41	HOMDEL	2	408	0.5%	No
RGS3		9q32	HOMDEL	3	408	0.7%	No
TMEM130		7q22.1	AMP	6	408	1.5%	No
HSD3B2		1p12	AMP	10	408	2.5%	No
GGT1		22q11.23	HOMDEL	2	408	0.5%	No
DDX24		14q32.12	AMP	2	408	0.5%	No
OXGR1		13q32.1	AMP	12	408	2.9%	No
ESF1		20p12.1	AMP	1	408	0.2%	No
CD99		Xp22.32 and Yp11.3	AMP	7	408	1.7%	No
BRF2		8p11.23	AMP	42	408	10.3%	No
KLRB1		12p13.31	HOMDEL	2	408	0.5%	No
ARHGDIB		12p12.3	HOMDEL	2	408	0.5%	No
STK32B		4p16.2	AMP	3	408	0.7%	No
ECI2		6p25.2	HOMDEL	4	408	1.0%	No
RN7SL515P		13q14.11	AMP	3	408	0.7%	No
RACK1		5q35.3	HOMDEL	4	408	1.0%	No
ZBTB6		9q33.2	HOMDEL	8	408	2.0%	No
FBXL17		5q21.3	AMP	1	408	0.2%	No
RGS2		1q31.2	HOMDEL	2	408	0.5%	No
RNA5SP494		22q12.1	AMP	8	408	2.0%	No
REG1A		2p12	HOMDEL	2	408	0.5%	No
SPRR2D		1q21.3	AMP	29	408	7.1%	No
RAB15		14q23.3	HOMDEL	1	408	0.2%	No
THSD7B		2q22.1	HOMDEL	2	408	0.5%	No
SLC24A4		14q32.12	AMP	3	408	0.7%	No
FOXR1		11q23.3	HOMDEL	2	408	0.5%	No
ATP11C		Xq27.1	AMP	4	408	1.0%	No
PYCR1		17q25.3	AMP	12	408	2.9%	No
C9ORF57		9q21.13	HOMDEL	5	408	1.2%	No
SNORD82		2q37.1	HOMDEL	11	408	2.7%	No
FBXL18		7p22.1	AMP	13	408	3.2%	No
RGS8		1q25.3	HOMDEL	1	408	0.2%	No
ZFR2		19p13.3	HOMDEL	1	408	0.2%	No
OR13C9		9q31.1	AMP	3	408	0.7%	No
MCM7		7q22.1	AMP	6	408	1.5%	No
ZFP36		19q13.2	AMP	16	408	3.9%	No
RN7SKP92		14q32.2	HOMDEL	6	408	1.5%	No
CRYGN		7q36.1	AMP	3	408	0.7%	No
GSTT2		22q11.23	AMP	8	408	2.0%	No
TAF1D		11q21	AMP	8	408	2.0%	No
SLC24A3		20p11.23	AMP	3	408	0.7%	No
THSD7A		7p21.3	HOMDEL	2	408	0.5%	No
TMEM135		11q14.2	AMP	9	408	2.2%	No
RN7SKP93		2q21.2	HOMDEL	3	408	0.7%	No
ARHGDIG		16p13.3	HOMDEL	5	408	1.2%	No
RN7SL712P		Xq23	HOMDEL	2	408	0.5%	No
TRAV22		14q11.2	HOMDEL	4	408	1.0%	No
SNORD81		1q25.1	HOMDEL	1	408	0.2%	No
TFCP2		12q13.12-q13.13	AMP	5	408	1.2%	No
OR11H4		14q11.2	AMP	7	408	1.7%	No
MGAT4B		5q35.3	HOMDEL	5	408	1.2%	No
OR13C8		9q31.1	AMP	3	408	0.7%	No
ZFP37		9q32	AMP	1	408	0.2%	No
RN7SL671P		4p16.3	AMP	11	408	2.7%	No
FBXL19		16p11.2	AMP	5	408	1.2%	No
MISP		19p13.3	HOMDEL	3	408	0.7%	No
OOSP2		11q12.1	HOMDEL	1	408	0.2%	No
DNALI1		1p34.3	AMP	9	408	2.2%	No
RN7SKP94		17q22	HOMDEL	1	408	0.2%	No
UFC1		1q23.3	AMP	69	408	16.9%	No
CLCA3P		1p22.3	AMP	3	408	0.7%	No
FYB1		5p13.1	AMP	31	408	7.6%	No
